codigo_cbo;ocupacao;familia_cbo;familia_cbo_titulo;categoria_tech;criterio;fonte;versao_mapeamento;incluido;status_revisao;registros_caged_202606
212425;Arquiteto de soluções de tecnologia da informação;2124;Analistas de tecnologia da informação;Cloud e DevOps;Arquitetura de solucoes de TI.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;267
211220;Cientista de dados;2112;Profissionais de estatística e afins;Dados e Banco de Dados;Ciencia de dados.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;184
212305;Administrador de banco de dados;2123;Administradores de tecnologia da informação;Dados e Banco de Dados;Administracao de banco de dados.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;474
212205;Engenheiro de aplicativos em computação;2122;Engenheiros em computação;Desenvolvimento de Software;Engenharia de aplicativos em computacao.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;582
212405;Analista de desenvolvimento de sistemas;2124;Analistas de tecnologia da informação;Desenvolvimento de Software;Analise e desenvolvimento de sistemas.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;11048
212415;Analista de sistemas de automação;2124;Analistas de tecnologia da informação;Desenvolvimento de Software;Analise de sistemas de automacao.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;498
212430;Analista de testes de tecnologia da informação;2124;Analistas de tecnologia da informação;Desenvolvimento de Software;Testes de tecnologia da informacao.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;706
317110;Desenvolvedor de sistemas de tecnologia da informação (técnico);3171;Técnicos de desenvolvimento de sistemas e aplicações;Desenvolvimento de Software;Desenvolvimento tecnico de sistemas de TI.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;4613
123605;Diretor de tecnologia da informação;1236;Diretores de tecnologia da informação;Gestao de Tecnologia;Diretoria de tecnologia da informacao.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;103
142505;Gerente de infraestrutura de tecnologia da informação;1425;Gerentes de tecnologia da informação;Gestao de Tecnologia;Gestao de infraestrutura de TI.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;274
142510;Gerente de desenvolvimento de sistemas;1425;Gerentes de tecnologia da informação;Gestao de Tecnologia;Gestao de desenvolvimento de sistemas.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;545
142515;Gerente de operação de tecnologia da informação;1425;Gerentes de tecnologia da informação;Gestao de Tecnologia;Gestao de operacao de TI.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;252
142520;Gerente de projetos de tecnologia da informação;1425;Gerentes de tecnologia da informação;Gestao de Tecnologia;Gestao de projetos de TI.;CBO2002 oficial MTE;v0.2;True;revisado_conservador;1081
