competencia;faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
202507;21-25;13355;7562;5793;1769
202507;26-30;13282;6718;6564;154
202507;31-35;9785;4799;4986;-187
202507;36-40;6955;3396;3559;-163
202507;41-50;7596;3546;4050;-504
202507;51+;2382;1015;1367;-352
202507;Ate 20;4405;2944;1461;1483
202508;21-25;13523;7578;5945;1633
202508;26-30;13460;6764;6696;68
202508;31-35;10021;4970;5051;-81
202508;36-40;7251;3495;3756;-261
202508;41-50;7703;3647;4056;-409
202508;51+;2297;1014;1283;-269
202508;Ate 20;4458;2896;1562;1334
202509;21-25;13434;7665;5769;1896
202509;26-30;13054;6574;6480;94
202509;31-35;9808;4832;4976;-144
202509;36-40;7201;3512;3689;-177
202509;41-50;7858;3761;4097;-336
202509;51+;2341;1057;1284;-227
202509;Ate 20;4346;2933;1413;1520
202510;21-25;13608;7531;6077;1454
202510;26-30;13872;6984;6888;96
202510;31-35;10199;4929;5270;-341
202510;36-40;7746;3724;4022;-298
202510;41-50;8376;3982;4394;-412
202510;51+;2620;1163;1457;-294
202510;Ate 20;4171;2687;1484;1203
202511;21-25;11628;6746;4882;1864
202511;26-30;11686;6179;5507;672
202511;31-35;8687;4523;4164;359
202511;36-40;6528;3278;3250;28
202511;41-50;6924;3471;3453;18
202511;51+;2167;953;1214;-261
202511;Ate 20;3704;2414;1290;1124
202512;21-25;9860;5198;4662;536
202512;26-30;9944;4650;5294;-644
202512;31-35;7779;3365;4414;-1049
202512;36-40;6068;2494;3574;-1080
202512;41-50;7365;2800;4565;-1765
202512;51+;2810;788;2022;-1234
202512;Ate 20;4201;2046;2155;-109
202601;21-25;12881;7352;5529;1823
202601;26-30;12271;6109;6162;-53
202601;31-35;9094;4309;4785;-476
202601;36-40;6722;3134;3588;-454
202601;41-50;7330;3379;3951;-572
202601;51+;2331;1016;1315;-299
202601;Ate 20;4866;3393;1473;1920
202601;Nao informado;1;0;1;-1
202602;21-25;12310;6706;5604;1102
202602;26-30;11614;5688;5926;-238
202602;31-35;8692;4033;4659;-626
202602;36-40;6534;2972;3562;-590
202602;41-50;7181;3232;3949;-717
202602;51+;2160;870;1290;-420
202602;Ate 20;5086;3631;1455;2176
202603;21-25;13822;7770;6052;1718
202603;26-30;13111;6624;6487;137
202603;31-35;9910;4860;5050;-190
202603;36-40;7287;3465;3822;-357
202603;41-50;7836;3667;4169;-502
202603;51+;2499;1012;1487;-475
202603;Ate 20;5188;3452;1736;1716
202604;21-25;13085;7200;5885;1315
202604;26-30;12865;6391;6474;-83
202604;31-35;9938;4654;5284;-630
202604;36-40;7263;3399;3864;-465
202604;41-50;7627;3496;4131;-635
202604;51+;2267;938;1329;-391
202604;Ate 20;4645;3173;1472;1701
202605;21-25;12283;6570;5713;857
202605;26-30;11808;5656;6152;-496
202605;31-35;9015;4187;4828;-641
202605;36-40;6886;3152;3734;-582
202605;41-50;7211;3189;4022;-833
202605;51+;2155;926;1229;-303
202605;Ate 20;3842;2502;1340;1162
202605;Nao informado;229;227;2;225
202606;21-25;12493;7062;5431;1631
202606;26-30;12211;6077;6134;-57
202606;31-35;9265;4421;4844;-423
202606;36-40;6801;3254;3547;-293
202606;41-50;7266;3423;3843;-420
202606;51+;2259;897;1362;-465
202606;Ate 20;4080;2667;1413;1254
202606;Nao informado;8;1;7;-6
