competencia;categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
202507;Desenvolvimento de Software;19573;10595;8978;5;7609.698691469218;6500.0;1617
202507;Redes;14963;7526;7437;11;2554.6156359118986;1802.5;89
202507;Suporte Tecnico;14519;7670;6849;3;2917.83583540287;2342.295;821
202507;Infraestrutura;3779;1931;1848;5;4716.392650953389;2245.275;83
202507;Gestao de Tecnologia;2845;1218;1627;7;14331.941032781107;12120.28;-409
202507;Seguranca da Informacao;799;415;384;3;9995.441964956197;7500.0;31
202507;Dados e Banco de Dados;716;374;342;2;9225.976125874126;8130.0;32
202507;Cloud e DevOps;343;157;186;1;14136.455994152047;14000.0;-29
202507;Outras ocupacoes de Tecnologia;223;94;129;2;8214.088325581395;7000.0;-35
202508;Desenvolvimento de Software;20112;10639;9473;5;7574.988639509985;6500.0;1166
202508;Redes;15044;7740;7304;11;2636.074177468929;1856.58;436
202508;Suporte Tecnico;14686;7641;7045;3;3056.446870567376;2352.09;596
202508;Infraestrutura;3765;1862;1903;5;4943.556761394101;2372.0;-41
202508;Gestao de Tecnologia;2909;1291;1618;7;14524.201841652324;12500.0;-327
202508;Seguranca da Informacao;816;437;379;3;9651.019472392638;7500.0;58
202508;Dados e Banco de Dados;747;370;377;2;8764.846465053763;8000.0;-7
202508;Cloud e DevOps;329;184;145;1;13959.349969604862;13000.0;39
202508;Outras ocupacoes de Tecnologia;305;200;105;2;7298.2745;6562.0;95
202509;Desenvolvimento de Software;20080;10573;9507;5;7757.197270053342;6630.0;1066
202509;Redes;15255;7913;7342;11;2625.8297855686374;1843.03;571
202509;Suporte Tecnico;14168;7520;6648;3;3027.1880008476974;2352.09;872
202509;Infraestrutura;3672;2027;1645;5;4723.731614839062;2200.0;382
202509;Gestao de Tecnologia;2878;1273;1605;7;14648.119408284025;12276.46;-332
202509;Seguranca da Informacao;846;433;413;3;9475.247813238771;7290.5;20
202509;Dados e Banco de Dados;685;351;334;2;9318.071081871343;8579.75;17
202509;Cloud e DevOps;288;143;145;1;14208.715;14000.0;-2
202509;Outras ocupacoes de Tecnologia;170;101;69;2;9735.505325443786;8261.88;32
202510;Desenvolvimento de Software;19744;10106;9638;5;7695.397487564714;6600.0;468
202510;Redes;16467;8599;7868;11;2600.684448107448;1855.165;731
202510;Suporte Tecnico;15031;7810;7221;3;3026.5364161002267;2353.0;589
202510;Infraestrutura;4024;1966;2058;5;4957.837963609172;2419.7200000000003;-92
202510;Gestao de Tecnologia;2987;1316;1671;7;14705.441369127517;12872.91;-355
202510;Seguranca da Informacao;947;493;454;3;9679.69348468849;7987.33;39
202510;Dados e Banco de Dados;785;384;401;2;9022.890943877552;8769.0;-17
202510;Cloud e DevOps;389;216;173;1;14077.463453608249;13889.64;43
202510;Outras ocupacoes de Tecnologia;218;110;108;2;8725.44614678899;8080.0;2
202511;Desenvolvimento de Software;17059;9362;7697;5;7717.06255426493;6629.005;1665
202511;Redes;13843;7369;6474;11;2630.454480806908;1874.21;895
202511;Suporte Tecnico;12948;7007;5941;3;3013.694473887516;2387.64;1066
202511;Infraestrutura;3069;1580;1489;5;5018.574646234105;2368.3;91
