competencia;grau_instrucao;registros;admissoes;desligamentos;saldo_empregos;escolaridade
202507;1;44;22;22;0;Analfabeto
202507;2;65;29;36;-7;Fundamental incompleto
202507;3;51;20;31;-11;Fundamental completo
202507;4;209;110;99;11;Medio incompleto
202507;5;572;276;296;-20;Medio completo
202507;6;1161;592;569;23;Superior incompleto
202507;7;22224;11177;11047;130;Superior completo
202507;8;9041;5180;3861;1319;Mestrado
202507;9;19520;10072;9448;624;Doutorado
202507;10;524;268;256;12;Pos-graduacao completa
202507;11;151;76;75;1;Pos-graduacao incompleta
202507;80;4198;2158;2040;118;Pos-graduacao completa
202508;1;61;28;33;-5;Analfabeto
202508;2;66;35;31;4;Fundamental incompleto
202508;3;38;13;25;-12;Fundamental completo
202508;4;252;131;121;10;Medio incompleto
202508;5;629;295;334;-39;Medio completo
202508;6;1237;674;563;111;Superior incompleto
202508;7;22207;11213;10994;219;Superior completo
202508;8;9147;5090;4057;1033;Mestrado
202508;9;19937;10230;9707;523;Doutorado
202508;10;556;307;249;58;Pos-graduacao completa
202508;11;176;81;95;-14;Pos-graduacao incompleta
202508;80;4407;2267;2140;127;Pos-graduacao completa
202509;1;56;19;37;-18;Analfabeto
202509;2;62;31;31;0;Fundamental incompleto
202509;3;45;20;25;-5;Fundamental completo
202509;4;211;92;119;-27;Medio incompleto
202509;5;591;325;266;59;Medio completo
202509;6;1223;716;507;209;Superior incompleto
202509;7;22278;11491;10787;704;Superior completo
202509;8;8966;4991;3975;1016;Mestrado
202509;9;19611;10028;9583;445;Doutorado
202509;10;531;283;248;35;Pos-graduacao completa
202509;11;150;72;78;-6;Pos-graduacao incompleta
202509;80;4318;2266;2052;214;Pos-graduacao completa
202510;1;65;18;47;-29;Analfabeto
202510;2;59;28;31;-3;Fundamental incompleto
202510;3;47;20;27;-7;Fundamental completo
202510;4;210;94;116;-22;Medio incompleto
202510;5;610;272;338;-66;Medio completo
202510;6;1201;606;595;11;Superior incompleto
202510;7;23745;11829;11916;-87;Superior completo
202510;8;9239;5141;4098;1043;Mestrado
202510;9;20125;10334;9791;543;Doutorado
202510;10;553;280;273;7;Pos-graduacao completa
202510;11;159;84;75;9;Pos-graduacao incompleta
202510;80;4579;2294;2285;9;Pos-graduacao completa
202511;1;64;22;42;-20;Analfabeto
202511;2;38;14;24;-10;Fundamental incompleto
202511;3;30;9;21;-12;Fundamental completo
202511;4;196;83;113;-30;Medio incompleto
202511;5;502;252;250;2;Medio completo
202511;6;1060;566;494;72;Superior incompleto
202511;7;19837;10360;9477;883;Superior completo
202511;8;7812;4535;3277;1258;Mestrado
202511;9;17424;9327;8097;1230;Doutorado
202511;10;436;237;199;38;Pos-graduacao completa
