uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;22286;11106;11180;6767.772125124131;3792.33;-74
31;4632;2410;2222;4159.492124756335;2365.13;188
42;3588;1810;1778;4556.659025755879;2769.915;32
41;3317;1591;1726;4113.947154938085;2600.0;-135
33;3204;1570;1634;4699.394161704795;2516.0;-64
43;3110;1660;1450;4521.755967064902;2635.0;210
53;1946;991;955;6266.1516165803105;5000.0;36
26;1437;797;640;3800.3026348983885;2168.69;157
29;1334;638;696;2841.84841472577;1728.73;-58
52;1242;631;611;3247.08716357776;2050.0;20
23;1199;624;575;3534.224380791912;1914.8;49
32;1054;576;478;4395.0248233046805;2276.55;98
51;770;410;360;2871.3616949152542;2238.48;50
15;674;359;315;2406.5253021148037;1774.05;44
50;580;316;264;2243.0974784110535;1843.03;52
13;567;260;307;3853.7369750889684;2585.48;-47
25;405;218;187;2597.4455472636814;1800.0;31
21;368;196;172;2839.745803814714;1802.0;24
24;354;185;169;2422.007809798271;1900.0;16
28;315;172;143;2533.1332165605095;1720.11;29
22;273;148;125;2678.067216117216;1723.7;23
11;258;131;127;1934.2170078740157;1730.75;4
17;223;111;112;2236.1743049327356;1881.25;-1
27;204;95;109;2452.6979802955666;1719.0;-14
12;98;59;39;1987.3747959183675;1621.0;20
16;83;46;37;2251.4736144578314;1621.0;9
14;56;22;34;1978.5587272727273;1621.0;-12
