competencia;uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
202507;35;23807;12496;11311;7055.593760485604;4399.76;1185
202507;31;5728;2924;2804;4170.59395909806;2310.0;120
202507;42;3859;1967;1892;4719.602946058091;2800.0;75
202507;33;3655;1979;1676;4848.874338174843;2643.43;303
202507;43;3617;1819;1798;4953.895134237476;2801.03;21
202507;41;3511;1801;1710;4217.504611872147;2534.9;91
202507;53;2032;1026;1006;6121.585800887136;4186.53;20
202507;29;1428;716;712;3187.816433076384;1720.0;4
202507;23;1304;681;623;3757.583366795367;2086.33;58
202507;52;1283;605;678;2934.067035881435;2026.045;-73
202507;26;1257;708;549;4155.139578025477;2300.0;159
202507;32;1052;565;487;3948.567533333333;2303.605;78
202507;15;831;429;402;2405.108206060606;1780.0;27
202507;51;828;469;359;3010.3142666666668;2205.0;110
202507;13;579;243;336;3386.610886956522;2200.0;-93
202507;50;534;281;253;3205.524146341464;2079.29;28
202507;21;389;190;199;2279.023505154639;1694.155;-9
202507;25;377;198;179;2673.093978779841;1792.5;19
202507;24;337;169;168;2541.2606231454006;1725.23;1
202507;22;302;185;117;2332.919102990033;1832.55;68
202507;28;255;130;125;2646.887401574804;1769.4;5
202507;27;203;103;100;2093.429261083744;1555.65;3
202507;11;201;107;94;2209.42655;1714.8;13
202507;17;180;89;91;2450.956;1940.935;-2
202507;16;86;48;38;1845.9264705882356;1571.13;10
202507;12;74;23;51;1723.1002702702704;1518.0;-28
202507;14;51;29;22;1648.759411764706;1518.0;7
202508;35;24724;12707;12017;7170.466975035519;4500.0;690
202508;31;5535;2832;2703;4222.80025520362;2352.09;129
202508;33;4011;2071;1940;5154.479492880339;2619.13;131
202508;43;3615;1904;1711;4881.741951760466;2760.87;193
202508;42;3531;1817;1714;4815.153129965947;3000.0;103
202508;41;3503;1752;1751;4411.172981099657;2800.0;1
202508;53;1895;1043;852;5661.376408898305;4000.0;191
202508;29;1541;814;727;3047.149509609013;1820.52;87
202508;23;1396;746;650;3532.086548736462;2060.0;96
202508;52;1355;680;675;2881.4252736686394;2000.0;5
202508;26;1344;661;683;4122.193462397618;2484.85;-22
202508;32;997;470;527;4021.7029949748735;2352.09;-57
202508;51;871;520;351;3199.672574712644;2284.105;169
202508;15;754;422;332;2253.9654133333333;1750.0;90
202508;13;591;330;261;3443.289424703892;2300.0;69
202508;50;540;223;317;2665.209481481482;1904.0;-94
202508;21;403;219;184;2039.712258064516;1609.29;35
202508;25;380;211;169;2743.456526315789;1875.14;42
202508;22;309;167;142;2413.412084690554;1753.6;25
202508;24;301;175;126;2251.342524916944;1666.8;49
202508;28;252;147;105;2604.285992063492;1700.0;42
202508;27;227;106;121;2603.298281938326;1719.0;-15
202508;11;212;106;106;2380.8232701421803;1688.0;0
202508;17;180;89;91;2194.0540223463686;1778.45;-2
202508;16;106;65;41;1920.149523809524;1533.18;24
202508;12;82;54;28;1561.649268292683;1518.0;26
202508;14;58;33;25;2315.9994827586206;1644.65;8
202509;35;24683;12676;12007;7315.158667993664;4714.65;669
202509;31;5407;2816;2591;4309.46851083534;2500.0;225
202509;33;3799;2010;1789;4680.780676493814;2516.0;221
202509;42;3769;1996;1773;4767.489716029724;2800.0;223
202509;41;3432;1735;1697;4354.488705916642;2607.72;38
202509;43;3308;1849;1459;5068.834247279323;2816.23;390
202509;53;1837;971;866;5911.39458900381;3871.81;105
202509;29;1456;823;633;3026.5922199312718;1800.0;190
202509;26;1381;775;606;3847.353282608696;2200.0;169
202509;23;1371;715;656;3334.408559882439;2003.91;59
202509;52;1338;617;721;3003.6800674157303;2091.4;-104
202509;32;989;533;456;3695.970839231547;2110.12;77
202509;51;803;417;386;3388.243408239701;2200.0;31
202509;15;677;390;287;2437.3799113737077;1750.0;103
202509;50;617;311;306;2566.35301458671;1857.0;5
202509;13;484;249;235;3900.761590909091;2251.12;14
202509;25;426;240;186;2951.2156941176468;2003.4;54
202509;21;405;215;190;2176.443688118812;1635.25;25
202509;24;370;199;171;3130.563125;1795.05;28
202509;22;328;168;160;2406.9382926829267;1885.25;8
202509;28;273;153;120;2254.201721611721;1635.0;33
202509;27;229;125;104;2113.25729257642;1564.0;21
202509;11;210;109;101;2058.8433971291865;1700.0;8
202509;17;196;100;96;2230.241683673469;1720.0;4
202509;14;97;66;31;1476.4648453608247;1518.0;35
202509;16;85;39;46;1877.033529411765;1533.18;-7
202509;12;72;37;35;2073.8225;1588.56;2
202510;35;25753;13225;12528;7070.062401075982;4332.28;697
202510;31;5610;2961;2649;4313.018362531283;2400.0;312
202510;33;3963;2026;1937;4756.083506953224;2516.0;89
202510;42;3804;1929;1875;4792.616094736843;2950.0;54
202510;41;3704;1801;1903;4301.109564747228;2589.01;-102
202510;43;3516;1834;1682;5079.172129418472;2894.67;152
202510;53;1916;918;998;6013.892635699374;4014.08;-80
202510;26;1554;864;690;3841.660587096774;2200.0;174
202510;29;1440;744;696;3276.328853370396;1800.0;48
202510;23;1409;726;683;4041.155192582026;2105.735;43
202510;52;1351;658;693;2946.835337286879;2000.0;-35
202510;32;1050;590;460;3848.1396377502383;2219.48;130
202510;13;772;375;397;3329.2721660181583;2368.3;-22
202510;51;752;334;418;3031.279027962716;2277.0;-84
202510;15;744;397;347;2417.1853387533874;1842.44;50
202510;50;541;258;283;2773.848611111111;2000.0;-25
202510;21;393;183;210;2529.933740458015;1637.06;-27
202510;28;386;201;185;2573.0258808290155;1837.5;16
202510;24;364;182;182;2624.4080991735536;1760.0;0
202510;25;362;164;198;3068.6725484764543;2000.0;-34
202510;22;341;173;168;2247.891794117647;1800.0;5
