competencia;total_registros_tech;total_admissoes;total_desligamentos;saldo_empregos;remuneracao_media;remuneracao_mediana;ocupacoes_analisadas;categorias_tech
202507;57760;29980;27780;2200;5358.06;2838.91;39;9
202508;58713;30364;28349;2015;5435.27;2986.55;39;9
202509;58042;30334;27708;2626;5486.39;2986.54;39;9
202510;60592;31000;29592;1408;5411.52;2900.0;39;9
202511;51324;27564;23760;3804;5430.84;2997.27;39;9
202512;48027;21341;26686;-5345;5106.84;2614.07;39;9
202601;55496;28692;26804;1888;5472.61;2900.0;39;9
202602;53577;27132;26445;687;5176.04;2714.88;39;9
202603;59653;30850;28803;2047;5346.43;2800.0;39;9
202604;57690;29251;28439;812;5627.76;2967.49;39;9
202605;53429;26409;27020;-611;5588.61;3000.0;39;9
202606;54383;27802;26581;1221;5497.17;2947.76;39;9
